,1,2,3,4,5,6,7
691,12610891.0,,,,,,
692,595897960.0,,,,,,
693,19301314.0,,,,,,
694,5756847906.0,,,,,,
695,23627409.0,,,,,,
696,8657768.0,,,,,,
697,2440743737.0,,,,,,
698,5397599728.0,,,,,,
699,323655083.0,,,,,,
700,387131101.0,,,,,,
701,259381652.0,,,,,,
702,1998650162.0,,,,,,
703,276311783.0,,,,,,
704,160550501.0,,,,,,
705,222276560.0,,,,,,
706,1750811992.0,,,,,,
707,174923009.0,,,,,,
708,772747409.0,,,,,,
709,576271084.0,,,,,,
710,49266667.0,,,,,,
711,27980434.0,,,,,,
712,12634541847.0,,,,,,
713,887815161.0,,,,,,
714,12734152.0,,,,,,
715,45738959.0,,,,,,
716,63610098.0,,,,,,
717,8028971854.0,,,,,,
718,1646264368.0,,,,,,
719,10287520.0,,,,,,
720,2303064538.0,,,,,,
721,243656846.0,,,,,,
722,102148093.0,,,,,,
723,1133621763.0,,,,,,
724,507291117.0,,,,,,
725,,,,,,36777998.0,
726,,,,,,39104220.0,
727,,,,,,5615161522.0,
728,,,,,,,10119557.0
729,,,,,,11561678517.0,
730,,,,,,79485112.0,
731,,,,,,1000600511.0,
732,,,,,,,59454027.0
733,,,,,,,99402396237.0
734,,,,,,,700542351.0
735,,,,,,,385875460.0
736,,,,,,5250476726.0,
737,,,,,,,40267561.0
738,,,,,,395773598.0,
739,,,,,,,215141906266.0
740,,,,,,1368733523.0,
741,,,,,,,68836411.0
742,,,,,,297764221.0,
743,,,,,,,2925122.0
744,3910056558.0,,,,,,
745,104086278.0,,,,,,
746,1461400850.0,,,,,,
747,1751019789.0,,,,,,
748,1831499674.0,,,,,,
749,247590904.0,,,,,,
750,21662071.0,,,,,,
751,29220011.0,,,,,,
752,46422949.0,,,,,,
753,433365115.0,,,,,,
754,,,,,,,53471098.0
755,125728201.0,,,,,,
756,1634024456.0,,,,,,
757,,,,,,118951560.0,
758,,,,,,,52833235.0
759,,,,,,,6394882674.0
760,,,,,,,127612468.0
761,,,,,,,1875067162.0
762,,,,,,,315234020.0
763,,,,,,,534458651.0
764,,,,,,,30740546.0
765,,,,,,2770131827.0,
766,,,,,,,26230126.0
767,,,,,,,1250169342.0
768,,,,,,881581782.0,
769,,,,,,,5040207747.0
770,,,,,,,83232078.0
771,,,,,,,17691222.0
772,,,,,,6394882674.0,
773,,,,,,127612468.0,
774,,,,,,534458651.0,
775,,,,,,3319958.0,
776,,,,,,,3662884840.0
777,,,,,,83232078.0,
778,,,,,,52833235.0,
779,,,,,,,3319958.0
780,,,,,,,2770131827.0
781,,,,,,598363109.0,
782,,,,,,,2547960191.0
783,,,,,,227239131.0,
784,,,,,,2547960191.0,
785,,,,,,2895807.0,
786,,,,,,,2895807.0
787,,,,,,,21000067.0
788,,,,,,,27482938.0
789,2344545.0,,,,,,
790,165991075.0,,,,,,
791,666186782.0,,,,,,
792,101524521.0,,,,,,
793,15075178.0,,,,,,
794,9347032.0,,,,,,
795,543613514.0,,,,,,
796,2048787940.0,,,,,,
797,3368702075.0,,,,,,
798,7790206305.0,,,,,,
799,4616015.0,,,,,,
800,744272485.0,,,,,,
801,2015246068.0,,,,,,
802,287635804.0,,,,,,
803,29106457.0,,,,,,
804,82433163.0,,,,,,
805,6015598290.0,,,,,,
806,10542601.0,,,,,,
807,11516682.0,,,,,,
808,19880344374.0,,,,,,
809,2547960191.0,,,,,,
810,200000000.0,,,,,,
811,69374340.0,,,,,,
812,31932366.0,,,,,,
813,40011835.0,,,,,,
814,109043685.0,,,,,,
815,354548751.0,,,,,,
816,298145669.0,,,,,,
817,2768856494.0,,,,,,
818,501002475.0,,,,,,
819,34272926.0,,,,,,
820,798834445.0,,,,,,
821,95436040.0,,,,,,
822,58939908.0,,,,,,
823,532168140.0,,,,,,
824,113330437.0,,,,,,
825,673801284.0,,,,,,
826,15488114033.0,,,,,,
827,82329639.0,,,,,,
828,,,,,,307315489.0,
829,,,,,,2214365.0,
830,,,,,,174403546.0,
831,,,,,,98358207.0,
832,,,,,,,26511887.0
833,,,,,,19897938.0,
834,,,,,,83999152.0,
835,,,,,,,267938094.0
836,,,,,,63568985.0,
837,1772091418.0,,,,,,
838,1789939024.0,,,,,,
839,514249436.0,,,,,,
840,11962176447.0,,,,,,
841,80832392.0,,,,,,
842,,,,,,,1162809138.0
843,,,,,,1685442617.0,
844,,,,,,,121742724.0
845,,,,,,1004708327.0,
846,123481274.0,,,,,,
847,525216892.0,,,,,,
848,,,,,,968543088.0,
849,,,,,,2613411932.0,
850,,,,,,98050500.0,
851,3852178.0,,,,,,
852,4386453162.0,,,,,,
853,9007902.0,,,,,,
854,421590748.0,,,,,,
855,487870979.0,,,,,,
856,99326539.0,,,,,,
857,33615753.0,,,,,,
858,695812002.0,,,,,,
859,5443828274.0,,,,,,
860,198716898.0,,,,,,
861,1862141868.0,,,,,,
862,21901287.0,,,,,,
863,693692311.0,,,,,,
864,60111198.0,,,,,,
865,13287891.0,,,,,,
866,22500866.0,,,,,,
867,19872992.0,,,,,,
868,1582372240.0,,,,,,
869,2725567612.0,,,,,,
870,11264908.0,,,,,,
871,176083416.0,,,,,,
872,500183792.0,,,,,,
873,43183604.0,,,,,,
874,560201969.0,,,,,,
875,,,,,,,2007961490619.0
876,,,,,,2007961490619.0,
877,,,,,,2399186869.0,
878,,,,,,34840361.0,
879,,,,,,791059103.0,
880,,,,,,,5067575103.0
881,,,,,,,38058094213.0
882,,,,,,,122242345.0
883,,,,,,,21073924.0
884,,,,,,,30806458.0
885,,,,,,67394137.0,
886,,,,,,44032514.0,
887,,,,,,70000943229.0,
888,,,,,,,67394137.0
889,,,,,,103190564.0,
890,,,,,,70097018.0,
891,19683985.0,,,,,,
892,,,,,,961773.0,
893,,,,,,,17325597.0
894,,,,,,654693015.0,
895,,,,,,,5207894.0
896,631466781.0,,,,,,
897,491270464.0,,,,,,
898,20091968.0,,,,,,
899,2783153.0,,,,,,
900,195910031.0,,,,,,
901,421411947.0,,,,,,
902,668256084.0,,,,,,
903,1092747426.0,,,,,,
904,395743676.0,,,,,,
905,1175185456.0,,,,,,
906,288412174.0,,,,,,
907,1205520051.0,,,,,,
908,31071142.0,,,,,,
909,129037978.0,,,,,,
910,2253192584.0,,,,,,
911,178141900.0,,,,,,
912,166753402.0,,,,,,
913,22837789.0,,,,,,
914,17344561.0,,,,,,
915,109159964.0,,,,,,
916,24781893.0,,,,,,
917,422521816.0,,,,,,
918,33492143608.0,,,,,,
919,2686735595.0,,,,,,
920,,,,,,,458817286.0
921,,,,,,1438319.0,
922,,,,,,4297584.0,
923,,,,,,53107617.0,
924,,,,,,,5072151285.0
925,,,,,,5072151285.0,
926,,,,,,,349006208.0
927,,,,,,,4954997676.0
928,,,,,,,4297584.0
929,,,,,,199118502.0,
930,371425460.0,,,,,,
931,160306904.0,,,,,,
932,364966174.0,,,,,,
933,2381480265.0,,,,,,
934,335541873.0,,,,,,
935,82492684.0,,,,,,
936,140940642.0,,,,,,
937,,,,,,,78219485.0
938,,,,,,78219485.0,
939,,,,,,,36173708.0
940,,,,,,62296347.0,
941,,,,,,,173012995.0
942,,,,,,6596129.0,
943,,,,,,30337951422.0,
944,,,,,,191158602.0,
945,,,,,,29996285.0,
946,,,,,,,30337951422.0
947,,,,,,1345968711.0,
948,,,,,,,77324443.0
949,,,,,,89009439.0,
950,,,,,,,124785600.0
951,,,,,,,791059103.0
952,,,,,,,109871584746.0
953,,,,,,,1886397733.0
954,,,,,,,8387656.0
955,,,,,,49437775.0,
956,131111032.0,,,,,,
957,397606858.0,,,,,,
958,,,,,,1425453801.0,
959,,,,,,,41094380.0
960,,,,,,,1781951051.0
961,,,,,,134876306.0,
962,,,,,,,22877719.0
963,,,,,,102337325317.0,
964,,,,,,2518927939.0,
965,,,,,,,221998793071.0
966,,,,,,3737669844.0,
967,,,,,,,1425453801.0
968,,,,,,27082921.0,
969,,,,,,,51496933.0
970,,,,,,,1571818693.0
971,,,,,,6714996611.0,
972,,,,,,,6714996611.0
